,street,city,zip,beds,baths,sq__ft,type,price
0,3526 HIGH ST,SACRAMENTO,95838,2.0,1,836.0,Residential,59222
1,51 OMAHA CT,SACRAMENTO,95823,3.0,1,1167.0,Residential,68212
2,2796 BRANCH ST,SACRAMENTO,95815,,1,796.0,Residential,68880
3,2805 JANETTE WAY,SACRAMENTO,95815,2.0,1,852.0,Residential,69307
4,6001 MCMAHON DR,SACRAMENTO,95824,2.0,1,797.0,Residential,81900
5,5828 PEPPERMILL CT,SACRAMENTO,95841,3.0,1,,,-400
6,6048 OGDEN NASH WAY,SACRAMENTO,95842,3.0,2,1104.0,Residential,90895
7,2561 19TH AVE,SACRAMENTO,95820,3.0,1,1177.0,Residential,91002
8,11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,2.0,2,941.0,Condo,94905
9,7325 10TH ST,RIO LINDA,95673,3.0,2,1146.0,Residential,98937
